Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","54","Denmark","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5772","*","Unofficial figure"
"FBS","Food Balances (2010-)","63","Estonia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1326","*","Unofficial figure"
"FBS","Food Balances (2010-)","67","Finland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5532","*","Unofficial figure"
"FBS","Food Balances (2010-)","99","Iceland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","339","*","Unofficial figure"
"FBS","Food Balances (2010-)","104","Ireland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4882","*","Unofficial figure"
"FBS","Food Balances (2010-)","119","Latvia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1907","*","Unofficial figure"
"FBS","Food Balances (2010-)","126","Lithuania","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2760","*","Unofficial figure"
"FBS","Food Balances (2010-)","162","Norway","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5379","*","Unofficial figure"
"FBS","Food Balances (2010-)","210","Sweden","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10036","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","67530","*","Unofficial figure"
