Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","1","Armenia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2958","*","Unofficial figure"
"FBS","Food Balances (2010-)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10048","*","Unofficial figure"
"FBS","Food Balances (2010-)","50","Cyprus","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1199","*","Unofficial figure"
"FBS","Food Balances (2010-)","73","Georgia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","3997","*","Unofficial figure"
"FBS","Food Balances (2010-)","103","Iraq","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","33717","*","Unofficial figure"
"FBS","Food Balances (2010-)","105","Israel","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","8519","*","Unofficial figure"
"FBS","Food Balances (2010-)","112","Jordan","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10102","*","Unofficial figure"
"FBS","Food Balances (2010-)","118","Kuwait","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4207","*","Unofficial figure"
"FBS","Food Balances (2010-)","121","Lebanon","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","6856","*","Unofficial figure"
"FBS","Food Balances (2010-)","221","Oman","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4975","*","Unofficial figure"
"FBS","Food Balances (2010-)","194","Saudi Arabia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","34269","*","Unofficial figure"
"FBS","Food Balances (2010-)","212","Syrian Arab Republic","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","17070","*","Unofficial figure"
"FBS","Food Balances (2010-)","223","Türkiye","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","83430","*","Unofficial figure"
"FBS","Food Balances (2010-)","225","United Arab Emirates","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","9770.53","*","Unofficial figure"
"FBS","Food Balances (2010-)","249","Yemen","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","29162","*","Unofficial figure"
